card_name,set_name,type,is_kingdom_card,cost,card_text,potion,card_text_es
Black Market,Promo,Action,1,$3,"+$2\nReveal the top 3 cards of the Black Market deck. You may buy one of them immediately. Put the unbought cards on the bottom of the Black Market deck in any order.\d(Before the game, make a Black Market deck out of one copy of each Kingdom card not in ",0,
Envoy,Promo,Action,1,$4,Reveal the top 5 cards of your deck. The player to your left chooses one for you to discard. Draw the rest.,0,
Governor,Promo,Action,1,$5,+1 Action\nChoose one; you get the version in parentheses: Each player gets +1 (+3) Cards; or each player gains a Silver (Gold); or each player may trash a card from his hand and gain a card costing exactly $1 ($2) more.,0,
Prince,Promo,Action,1,$8,"You may set this aside. If you do, set aside an Action card from your hand costing up to $4. At the start of each of your turns, play that Action, setting it aside again when you discard it from play. (Stop playing it if you fail to set it aside on a turn you play it.)",0,
Stash,Promo,Treasure,1,$5,"Worth $2\dWhen you shuffle, you may put this anywhere in your deck.",0,
Summon,Promo,Event,0,$?,Allows the buyer to gain a cheap Action card and play it immediately at the start of their next turn.,0,
Walled Village,Promo,Action,1,$4,"+1 Card\n+2 Actions\dAt the start of Clean-up, if you have this and no more than one other Action card in play, you may put this on top of your deck.",0,
Adventurer,Dominion,Action,1,$6,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards in your hand and discard the other revealed cards.,0,"Si tienes que barajar en medio de la Acción, hazlo, pero no barajes las Cartas que hayas revelado, puesto que estas Cartas no irán a la Pila de Descartes hasta que hayas terminado de revelar Cartas. Si se terminan las Cartas después de barajar y sólo ha salido un Tesoro, ese Tesoro será todo lo que consigas."
Bureaucrat,Dominion,Action-Attack,1,$4,Gain a silver card; put it on top of your deck. Each other player reveals a Victory card from his hand and puts it on his deck (or reveals a hand with no Victory cards).,0,"Si no queda ninguna Carta en tu Mazo cuando juegas el Burócrata, la Carta de Plata que ganas se convertirá en la única Carta de tu Mazo. Del mismo mod o, si un jugador no tiene Cartas en su Mazo, la Carta de Victoria que debe poner encima se convertirá en la única Carta de dicho Mazo. C"
Cellar,Dominion,Action,1,$2,+1 Action\nDiscard any number of cards.\n+1 Card per card discarded.,0,"No puedes descartarte del Sótano, puesto que no se encuentra ya en tu mano cuando resuelves la Acción. Eliges las Cartas que quieres y las descartas de una vez. Sólo puedes robar las Cartas después de que te hayas descartado. Si tuvieras que barajar tu Pila de Descartes para robar, las Cartas descartadas también serán barajadas en el nuevo Mazo"
